customer_id,recency_days,frequency,monetary_value,tenure_days,CLV
1,103,2,5703.768383891355,505,3549.174991454898
2,349,3,1670.5998316606613,738,2989.663352848218
3,271,17,1289.6300132758577,1916,4899.068125523
4,107,5,3484.6087004923756,1698,5251.054922947962
5,72,17,1008.8107515530746,1923,5171.318835272098
6,189,17,1032.154183858745,800,4108.751691400474
7,21,17,3182.9917629738125,1490,7429.595662771655
8,103,2,9797.154233352934,1076,7319.413275372823
9,122,2,1835.7696719044513,1026,3062.1507818814134
10,215,5,269.89490813432735,1618,2673.4387866090874
11,331,1,7657.307787738719,706,4141.602776749195
12,88,1,8088.438472802717,743,4304.959120762933
13,100,19,3528.412778785068,1511,4359.525000120351
14,360,2,4700.2707481021525,112,1843.1013728205844
15,152,12,6532.7594581633575,1198,6336.274459728713
16,131,6,575.7833495506338,1138,5140.233970148623
17,150,4,9496.54274275472,1131,8748.08493758547
18,309,11,8878.13583425067,486,6603.208156758869
19,258,17,2682.846871082968,1931,8600.900666083047
20,344,6,251.51494887480902,30,1660.6609706226795
21,294,5,9341.019449986881,80,2881.941703630667
22,192,2,5060.294850761066,714,4937.603597615285
23,277,6,5439.836739160619,746,5107.872634775136
24,161,11,6871.241317041597,1825,7654.742711388107
25,314,16,6196.926527460147,1499,5810.260744212558
26,22,16,9444.526885151496,478,7840.664578286171
27,253,1,9448.090811539158,910,4185.417682795082
28,236,9,8685.269442194538,517,5901.159758722609
29,345,6,6400.395614715511,1853,6371.607399070881
30,49,16,8029.3980173557575,63,4408.356967125684
31,59,3,6803.96658959152,1401,7604.284302447966
32,170,4,5776.333712552139,124,3239.858425695297
33,188,19,1372.1534970157109,1125,4728.043077677426
34,271,3,8130.9213496864295,1604,8074.832622085642
35,190,19,8224.330809865158,183,6084.374848629223
36,175,7,6296.8027340055705,279,4595.312565650283
37,51,9,8222.225753335555,703,7156.464497156867
38,364,1,6549.699241392101,467,4329.605547614876
39,55,8,2146.1751627797794,147,2370.5677475781736
40,244,7,2812.2151604792243,800,5123.220415614669
41,320,18,2224.432285112904,1944,7562.186740566308
42,131,8,3834.864923956961,1359,5153.169292745646
43,307,1,485.7350098713129,297,-433.32544521279635
44,135,11,6220.713454945139,1107,6860.480377310214
45,21,18,3431.8867273983924,265,4230.304011888202
46,329,10,6591.654090269348,418,6347.322708323508
47,167,3,3915.4265475590937,1019,5032.70627948027
48,274,7,6847.975322830618,1787,8051.192049417217
49,89,16,3472.1832376959765,792,4799.543156802082
50,316,16,2680.875829535441,1878,5346.739173100478
51,14,17,5010.7707975047215,430,4846.422430051045
52,242,2,6959.6145510502,653,5099.63536984921
53,265,1,3548.532384086654,796,1339.1860990341813
54,346,16,9372.816703371502,1356,9721.122311338095
55,53,12,487.94463408889794,948,5327.516318795829
56,340,5,4237.66571398423,1260,2683.8935666213656
57,92,5,9679.04746005045,1282,6365.3081790116885
58,264,9,5524.921644156065,882,5260.123286311172
59,35,9,4292.362328850374,1963,6337.100248790252
60,206,3,5728.350809124588,607,4330.081838393967
61,81,19,5801.653295055037,104,4815.652610970082
62,50,16,7343.312777466438,464,5100.837869244166
63,360,16,1364.1283212824094,132,3294.4705008196943
64,2,3,2575.1628472394364,1475,4999.098028862568
65,54,1,5847.385722204707,1757,5896.950886374082
66,106,11,8684.454411376248,793,8374.252320348945
67,260,17,5662.480252223359,767,5166.834171217926
68,310,8,2462.108911924368,835,1994.2139392566505
69,191,4,6830.463321012434,1359,6430.243483593952
70,218,6,7425.096728429008,127,4592.70598743717
71,44,8,2458.5379087993965,1903,6301.185846618544
72,162,3,3839.515973145319,827,4327.109113225147
73,202,16,5389.841987952578,1388,7284.04572255398
74,270,3,5015.955787762469,888,4654.471535330408
75,351,18,3957.2190535701143,464,3606.3557264768924
76,304,14,3046.5882276421776,476,2738.549839250535
77,271,18,1089.8503829024476,1361,5402.790107710342
78,215,2,629.5044377989522,278,991.7087295993638
79,252,3,9589.560819143664,195,5927.026149058088
80,190,16,8486.717126546338,1534,6919.081407645572
81,296,9,3613.5613855809343,1013,3787.9943103728738
82,213,4,9572.328762751918,1388,9549.683283286515
83,208,1,6800.022053800602,1049,5838.544179247742
84,237,4,4876.95740146216,571,3920.529151710233
85,338,1,4980.954011940869,788,4367.4013729401095
86,53,14,924.5156708330704,1159,6309.208361282716
87,280,16,1007.8710578589627,1616,6913.98507121651
88,217,8,6064.165166421078,110,2147.061825897945
89,252,7,5581.660218223427,162,2226.3289500423452
90,188,3,2206.0061607398666,826,1159.5924248191411
91,41,17,9467.325974528734,929,7483.0550983241055
92,157,1,7834.830899664905,167,4170.834748484709
93,15,16,1223.2995599727353,213,2857.164924054164
94,301,12,9316.198146304198,1454,6784.120329964845
95,65,19,9745.05726449066,1383,7573.676805876221
96,345,14,9959.719296100258,814,6725.568261094679
97,327,6,653.1244313057655,1561,4474.233481257504
98,9,6,7396.652012230988,1905,9185.18891780914
99,344,13,5504.56612463339,1013,7268.107921654381
100,129,19,7087.731690399076,98,5414.035594274424
101,136,8,9689.654245343936,575,7418.980613062074
102,63,2,6911.497100732887,1827,8225.143511416103
103,139,1,8385.94235495,82,3751.612144802379
104,81,15,8682.000182577329,1503,9113.34497281913
105,163,1,8400.959561263453,234,5182.68490634148
106,289,5,4318.305602964717,155,1626.4951843972342
107,261,16,2303.506533953202,1800,7602.349438084044
108,231,19,4026.8508593470933,72,3672.1131469535203
109,41,4,8929.779396890088,1805,8500.424926591717
110,28,3,1551.3877347510524,1936,3958.3524874334025
111,135,17,5181.92907005469,140,3589.0383391498117
112,201,17,2408.9579170028255,790,1986.4643576694043
113,328,12,5854.923630545145,1716,7122.6176916911845
114,268,14,8645.071367691138,1236,10298.224893487542
115,33,6,8815.563689520326,877,5693.662396655676
116,48,3,2443.1834174525798,124,4673.788636881262
117,62,9,9086.167692850608,1427,9618.335109037716
118,216,5,5959.698514330715,1965,6612.2604761882485
119,293,17,3567.160642333104,1573,6217.34502598543
120,99,14,7110.993836273678,929,6529.896610221902
121,172,3,4868.503180844742,389,4960.415563820083
122,360,1,3842.0771422103194,929,3856.0543012231196
123,214,1,7080.335206536933,1749,7999.141651890281
124,35,3,2562.3691288598507,310,2506.856409791274
125,227,18,3369.5000372890754,1248,5528.277498049921
126,101,10,4401.073260433886,1917,7209.459995287658
127,131,3,2611.4535213440736,1248,3498.2825267999556
128,257,8,4111.500659136029,696,2410.0462860971165
129,5,14,5757.582949529606,122,5328.980050721453
130,218,18,7435.641223015617,701,5091.656163164722
131,255,15,7695.22904577486,1999,8694.280346092255
132,359,2,8245.624483579262,90,3524.4479541742135
133,283,10,7467.6954037386495,663,6278.701632923395
134,207,2,6842.290328259399,1104,7083.349749063228
135,15,17,2451.3140657954523,1456,7020.127680198474
136,346,8,4062.206639433046,1842,6668.528338611616
137,42,1,4829.377419714254,1058,3937.817064236345
138,179,9,920.6240847642068,1519,3946.3428887856403
139,63,11,5330.864200842371,633,4607.658393365367
140,352,16,4419.724732904904,711,4233.580919723008
141,231,7,8040.881565364667,1882,7735.489674055496
142,241,10,9781.216620667281,563,6225.97027526605
143,52,3,5604.449882561587,1458,5466.798748580299
144,96,18,3294.5952439480784,867,5989.1806400025935
145,222,13,529.6677546519104,1566,3309.1969884598625
146,231,7,9253.9689692136,674,5599.010382302969
147,237,4,9199.245581258729,262,3584.7160695898524
148,143,13,2604.602663093487,553,4909.284134057592
149,171,1,6984.570118755811,375,3289.282100720319
150,29,8,846.8020161887157,1099,4038.6762398164983
151,36,14,1745.5327759016038,575,3844.0852481631086
152,13,16,2246.410155206263,1998,8018.543698693903
153,160,14,3015.490073710356,1131,4719.728338480084
154,327,12,9958.73061279077,1783,8307.325519109474
155,187,19,6999.558053051766,1866,7295.529050654254
156,243,15,3903.598130654277,1976,4254.663420545039
157,86,2,7397.296987845891,1126,6183.001719801848
158,284,2,9161.017982524152,823,6775.98156375099
159,66,19,9591.153833337677,278,7624.2650218666795
160,170,17,672.8525878013032,76,403.6619907278439
161,45,10,4005.7658062204855,1174,6322.209048222172
162,62,6,1156.8850527652553,243,873.2264980672752
163,134,15,3423.0346414899354,268,2639.613826603214
164,284,11,1779.8310485660988,1109,3061.2832889798656
165,28,5,6503.798780520366,379,4546.30831276626
166,108,1,3943.8570014997345,136,697.2269292327953
167,44,8,2371.007982479002,860,3602.468077520383
168,340,12,2732.7854571459657,77,2639.8409739566523
169,286,12,3667.4164425321555,1626,6964.032117509692
170,331,5,2673.5036422572007,366,2248.208478349845
171,128,7,4587.084383605427,1079,3619.9136936089217
172,348,4,419.9279159855396,833,1902.8541856449933
173,231,6,2869.6587209725626,1310,3248.071086540161
174,190,13,4170.946536634644,37,2056.5281119503716
175,225,15,6067.540632030656,654,4141.566712475349
176,283,3,2782.480660899786,1920,3195.486650555869
177,121,8,1418.532739715122,1306,3372.6032019221666
178,116,16,854.3837580317152,1745,6472.0806220627655
179,233,13,9411.265088640295,748,9408.61655974769
180,259,18,4224.726671610944,332,3614.278177465378
181,359,10,5853.50994969018,668,5810.360501614746
182,198,19,9199.847863172039,85,5978.341613349425
183,137,17,919.2093583495307,755,1813.3689597262041
184,318,19,8778.948710665349,555,7623.416616778752
185,165,5,5560.719938186294,503,4273.674055888713
186,225,9,1731.8591852563093,57,3360.4492005892703
187,307,12,4171.425654195154,107,1504.5343451148208
188,234,1,7798.262608978733,1269,8982.164012824644
189,172,1,4855.663810476911,1439,6739.549228426612
190,152,15,9854.331901588494,394,6969.242377232393
191,315,2,3829.7158023856136,695,2733.720109394289
192,160,16,7520.825169763113,555,5514.602716012939
193,96,8,3990.5955448907052,728,4217.030411633145
194,233,13,8308.725784994493,1365,7650.926737088268
195,180,1,5733.906544740902,912,5034.748685951062
196,113,16,728.7671129410134,1060,3620.516895452201
197,318,7,464.53648959631465,1056,3982.23193629482
198,52,5,1425.1359761262686,1676,4611.614019229581
199,268,3,235.3524517872731,948,1654.8591979679045
200,295,12,846.054697489377,779,3762.8139305240784
